timestamp,battery_id,chemistry,cycle_count,voltage_drop_V,current_draw_A,impedance_1Hz_ohm,impedance_10Hz_ohm,impedance_100Hz_ohm,phase_1Hz_deg,phase_10Hz_deg,temp_start_C,temp_end_C,internal_resistance_ohm,total_run_hours,voltage_per_current,temp_delta,charge_duration_h,energy_wh,is_charging,stability_status,remaining_cycles
2023-01-01 00:00:00.000000000,BATT_001,NMC 811,610,0.41,1.615,0.735,0.847,0.384,-66.0,42.6,20.4,20.5,0.655,628,0.254,0.1,2.9,1.92,True,unstable,355
2023-01-01 08:45:46.515505168,BATT_002,NMC 811,465,0.069,3.794,0.1,0.644,0.274,-36.1,-84.0,21.5,25.0,0.339,478,0.018,3.5,2.5,0.65,True,stable,548
2023-01-01 17:31:33.031010336,BATT_003,Li-ion,482,0.467,3.689,0.965,0.473,0.371,47.8,86.1,20.5,20.1,0.603,490,0.127,-0.4,1.58,2.72,True,unstable,520
2023-01-02 02:17:19.546515505,BATT_004,Li-ion,422,0.487,2.511,0.289,0.354,0.252,-61.0,-10.7,25.6,33.3,0.298,441,0.194,7.7,1.87,2.29,True,stable,573
2023-01-02 11:03:06.062020673,BATT_005,LiFePO4,198,0.073,0.619,0.303,0.663,0.321,40.1,-59.7,27.9,37.6,0.429,217,0.118,9.7,3.59,0.16,True,stable,786
2023-01-02 19:48:52.577525841,BATT_006,Li-ion,842,0.411,4.092,1.218,0.239,0.062,-85.7,-13.3,22.6,32.6,0.506,846,0.1,10.0,2.67,4.49,True,stable,147
2023-01-03 04:34:39.093031010,BATT_007,NMC 811,117,0.118,3.906,1.918,0.793,0.128,-52.9,-54.6,27.2,21.7,0.946,117,0.03,-5.5,4.8,2.21,True,unstable,889
2023-01-03 13:20:25.608536178,BATT_008,NMC 811,695,0.354,2.101,1.107,0.062,0.335,50.8,33.3,22.2,26.5,0.501,706,0.168,4.3,2.03,1.51,True,stable,293
2023-01-03 22:06:12.124041347,BATT_009,LiFePO4,206,0.46,3.94,0.38,0.409,0.374,-18.8,-60.2,29.6,29.2,0.388,223,0.117,-0.4,1.12,2.03,True,stable,810
2023-01-04 06:51:58.639546515,BATT_010,Li-ion,223,0.458,4.69,0.708,0.717,0.1,-21.4,-60.4,28.1,22.7,0.508,233,0.098,-5.4,1.77,3.8,True,stable,769
